id,name,vehicle_type,brand_id
040084ab-7dc9-4294-84c9-c660575ed268,M9,1,76c2e1d2-6bc1-4066-8a7b-b9faae1f2643
60c2dd67-8e29-4940-9e33-3c562574781a,U5,1,96c4afe6-8faa-4cba-b9f2-952eadfd9417
8c546d38-9dc1-469f-b915-56045d5e1492,U6,1,96c4afe6-8faa-4cba-b9f2-952eadfd9417
b6183fe5-98e0-4e81-ae3d-e11f1523d213,500,1,6d639d94-59bc-4c94-880f-9354a7972d90
f49a12b6-6eed-4335-973a-feaddb635f50,105/115,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
d4d51e87-0da2-4eb1-95a1-39e505ed2790,145,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
92c7c031-88be-46ad-8d42-abed9709f704,146,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
4657fbd6-4ef1-41fa-886b-e331bccaf87a,147,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
1808336d-c85b-4151-bf4e-8f24b8f0e7d7,155,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
b65c5ae1-3ea1-48d6-8a6e-ce2410d11d71,156,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
8ebcdff2-10da-4cf5-aa61-1d95dfa650d7,159,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
74bb7ea5-3cde-4ab6-8222-958f747e5d00,164,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
527d1aaf-9f5a-471b-be9d-539811995858,166,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
87415f87-ea21-4e0c-9b7b-8939baa7b396,1900,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
a6fcb253-f8dc-4d76-8e0e-423796ad8d6b,2600,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
88f955a3-1b69-46c5-a530-a077521a5693,33,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
7a8fbf15-def4-47bb-bb3e-21fdb01ccbf4,33 Stradale,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
82261ddf-1a50-4272-8cb0-d126426f2f93,4C,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
c6cddd11-1fe6-4e0d-9fb4-3a7a4df624fa,6,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
557f258b-862b-4eeb-ba62-b7dde42730eb,6C,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
64461f14-e8f4-4730-bfc6-3f1bf34c68ac,75,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
597d997a-93eb-4a08-8f16-7fbcb719c025,8C Competizione,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
6a6caf6a-24a6-4838-8393-19617bc52977,90,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
985c5980-8e72-4cc6-ae3a-dac1dc37e715,Alfasud,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
